City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,camabatela,-8.1881,15.375,290.81,94,98,1.68,AO,1713752420
83,hadibu,12.65,54.0333,300.3,77,43,0.53,YE,1713752421
84,khandyga,62.6667,135.6,276.87,86,99,1.31,RU,1713751937
85,herkimer,43.0256,-74.986,279.37,73,4,3.2,US,1713752421
86,marine corps base hawaii - mcbh,21.4453,-157.7513,301.13,64,20,7.72,US,1713752421
87,vilyuchinsk,52.9306,158.4028,282.3,82,66,0.72,RU,1713752421
88,tura,25.5198,90.2201,303.17,53,92,3.08,IN,1713752422
89,san antonio de pale,-1.4014,5.6325,302.03,79,89,2.13,GQ,1713752422
90,gazli,40.1333,63.45,296.96,27,0,1.47,UZ,1713752423
91,sheridan,44.8333,-106.9173,287.05,51,0,3.6,US,1713752183
92,madalena,41.2162,-8.3345,289.52,61,12,1.86,PT,1713752423
93,fujinomiya,35.2167,138.6167,290.13,87,100,2.31,JP,1713752424
94,abalak,58.1286,68.5944,278.9,74,17,3.46,RU,1713752424
95,yuzhno-kurilsk,44.0306,145.8556,275.58,97,100,3.79,RU,1713752424
96,kapuskasing,49.4169,-82.4331,268.2,49,20,2.57,CA,1713752424
97,south williamsport,41.232,-76.9991,280.14,58,0,4.12,US,1713752424
98,port isabel,26.0734,-97.2086,294.27,78,100,8.05,US,1713752101
99,mersa matruh,31.3525,27.2453,291.34,62,100,5.91,EG,1713752425
100,gizo,-8.103,156.8419,302.42,73,95,0.26,SB,1713752426
101,nagqu,31.5,92.0,277.61,18,60,7.6,CN,1713752426
102,olyokminsk,60.3736,120.4264,275.28,99,100,0.62,RU,1713752428
103,ujae,8.9322,165.7642,301.23,79,86,7.85,MH,1713752429
104,imbituba,-28.24,-48.6703,291.18,89,0,1.96,BR,1713752429
105,santa branca,-23.3967,-45.8839,291.97,88,0,1.03,BR,1713752429
106,tralee,52.2704,-9.7026,283.33,86,99,1.32,IE,1713752429
107,talnakh,69.4865,88.3972,258.67,93,99,2.06,RU,1713752429
108,as sulayyil,20.4607,45.5779,296.29,16,63,4.1,SA,1713752430
109,gobabis,-22.45,18.9667,291.67,42,0,4.8,NA,1713752430
110,el ejido,36.7763,-2.8146,288.01,72,0,3.12,ES,1713752430
111,azadshahr,34.7909,48.5707,281.42,87,75,3.09,IR,1713752430
112,afaahiti,-17.75,-149.2833,299.08,77,48,1.77,PF,1713752430
113,chernyshevskiy,63.0128,112.4714,273.7,100,100,0.43,RU,1713752431
114,al hudaydah,14.7978,42.9545,302.41,75,100,2.57,YE,1713752433
115,squamish,49.7014,-123.1512,286.59,66,79,2.68,CA,1713752433
116,yellowknife,62.456,-114.3525,284.44,40,20,1.03,CA,1713752393
117,college,64.8569,-147.8028,288.33,24,20,3.6,US,1713752433
118,dyurtyuli,55.4911,54.8688,287.27,84,100,2.97,RU,1713752433
119,celina,40.5489,-84.5702,280.76,65,0,3.15,US,1713752433
120,vangaindrano,-23.35,47.6,295.16,89,77,1.53,MG,1713752434
121,swedru,5.5371,-0.6998,299.32,93,100,2.42,GH,1713752434
122,saldanha,-33.0117,17.9442,287.18,93,2,2.46,ZA,1713752434
123,lompoc,34.6391,-120.4579,292.05,84,20,4.63,US,1713752434
124,lazaro cardenas,17.9583,-102.2,297.38,76,0,1.59,MX,1713752434
125,alice springs,-23.7,133.8833,293.9,43,100,7.72,AU,1713752435
126,alexandria,31.2156,29.9553,289.43,78,7,4.29,EG,1713752427
127,fisterra,42.9049,-9.2629,285.23,51,13,9.29,ES,1713751990
128,villa gesell,-37.2639,-56.973,288.74,57,100,9.02,AR,1713752398
129,mitchell,43.7094,-98.0298,283.14,40,0,4.12,US,1713752414
130,cabedelo,-6.9811,-34.8339,299.52,86,97,3.53,BR,1713752188
131,aasiaat,68.7098,-52.8699,272.3,94,100,1.5,GL,1713752437
132,iskateley,67.6803,53.1512,249.27,100,94,2.24,RU,1713752437
133,sao marcos,-28.9711,-51.0681,288.9,94,4,1.19,BR,1713752437
134,coquimbo,-29.9533,-71.3436,290.0,82,0,1.03,CL,1713752246
135,boa vista,2.8197,-60.6733,299.14,89,20,3.09,BR,1713752265
136,gadzhiyevo,69.2551,33.3362,258.98,93,92,3.57,RU,1713752438
137,priozersk,61.0393,30.1291,274.87,84,100,7.41,RU,1713752190
138,sinop,41.7711,34.8709,282.73,70,0,5.89,TR,1713752439
139,chipata,-13.6333,32.65,288.32,79,17,2.07,ZM,1713752439
140,cidreira,-30.1811,-50.2056,293.13,83,53,3.07,BR,1713752440
141,hithadhoo,-0.6,73.0833,302.41,71,97,1.13,MV,1713752440
142,inari,68.906,27.0288,262.26,100,90,0.85,FI,1713752440
143,ceerigaabo,10.6162,47.368,292.13,74,97,2.16,SO,1713752440
144,nefta,33.8731,7.8777,289.29,49,100,7.86,TN,1713752441
145,callao,-12.0667,-77.15,297.99,68,0,4.12,PE,1713752160
146,ko pha ngan,9.7578,100.0291,303.53,74,100,2.91,TH,1713752345
147,pimenta bueno,-11.6725,-61.1936,296.53,98,53,1.6,BR,1713752443
148,bridgewater,44.3835,-64.5155,279.97,79,100,4.12,CA,1713752443
149,chanar ladeado,-33.3252,-62.0383,292.48,98,100,2.67,AR,1713752443
150,markovo,57.3206,107.0881,275.85,79,100,1.04,RU,1713752444
151,luganville,-15.5333,167.1667,303.79,71,100,1.99,VU,1713752444
152,bardai,11.65,7.2333,298.55,62,42,5.24,NG,1713752444
153,gore,-46.1028,168.9436,284.21,64,6,4.91,NZ,1713752444
154,leava,-14.3,-178.1667,302.15,78,98,4.12,WF,1713751986
155,kerikeri,-35.2268,173.9474,294.21,68,83,3.58,NZ,1713752446
156,bilibino,68.0546,166.4372,266.76,57,31,1.24,RU,1713752446
157,tvoroyri,61.5556,-6.8111,280.18,83,61,7.3,FO,1713752446
158,kingston,17.997,-76.7936,300.68,78,20,5.66,JM,1713752278
159,praia da vitoria,38.7333,-27.0667,289.68,82,75,1.51,PT,1713752447
160,beibei,29.8256,106.4339,292.8,95,100,1.03,CN,1713752447
161,bedesa,8.9,40.7833,289.96,85,100,0.24,ET,1713752447
162,mount pearl,47.5166,-52.7813,276.66,96,40,4.63,CA,1713752447
163,utrik,11.2278,169.8474,300.39,75,90,8.13,MH,1713752447
164,visby,57.6409,18.296,274.28,80,100,5.66,SE,1713752448
165,constantia,44.1833,28.65,284.65,92,100,8.38,RO,1713752188
166,salinopolis,-0.6136,-47.3561,299.29,88,100,3.35,BR,1713752449
167,urengoy,65.9667,78.3667,254.14,94,100,5.27,RU,1713752449
168,fukagawa,43.7081,142.0392,283.18,73,100,3.89,JP,1713752449
169,liwale,-9.7667,37.9333,292.92,97,68,1.76,TZ,1713752449
170,arraial do cabo,-22.9661,-42.0278,296.93,73,0,6.77,BR,1713752389
171,padangsidempuan,1.3667,99.2667,300.41,80,100,0.7,ID,1713752235
172,warrnambool,-38.3833,142.4833,291.35,43,4,3.64,AU,1713752450
173,peniche,39.3558,-9.3811,288.77,95,60,2.93,PT,1713752450
174,canela,-29.3656,-50.8156,288.31,95,50,0.45,BR,1713752451
175,khovd,48.0056,91.6419,278.13,34,97,1.63,MN,1713752199
176,cacapava do sul,-30.5122,-53.4914,290.17,88,79,0.29,BR,1713752451
177,portland,45.5234,-122.6762,288.91,52,0,4.63,US,1713752445
178,nar'yan-mar,67.6713,53.087,249.32,100,89,2.24,RU,1713752451
179,jieshi,22.8134,115.8257,296.73,91,97,1.52,CN,1713752452
180,pierre,44.3683,-100.351,286.66,35,0,5.14,US,1713752436
181,mili,6.0815,171.735,301.46,81,61,8.85,MH,1713752452
182,mirnyy,62.5353,113.9611,272.72,99,100,4.02,RU,1713752453
183,sao miguel do araguaia,-13.275,-50.1628,298.43,73,87,1.84,BR,1713752453
184,severo-yeniseyskiy,60.3725,93.0408,267.36,97,100,1.34,RU,1713752453
185,shingu,33.7333,135.9833,290.65,92,100,3.56,JP,1713752453
186,matamey,13.4231,8.4749,303.58,12,100,0.5,NE,1713752453
187,port-gentil,-0.7193,8.7815,301.91,79,100,2.53,GA,1713752453
188,east london,-33.0153,27.9116,296.29,92,100,7.41,ZA,1713752454
189,okhotsk,59.3833,143.3,273.19,93,100,2.4,RU,1713752454
190,jaora,23.6333,75.1333,300.18,32,0,4.16,IN,1713752454
191,port mathurin,-19.6833,63.4167,299.96,79,98,7.54,MU,1713752454
192,leh,34.1667,77.5833,268.8,73,63,0.87,IN,1713752455
193,kodiak,57.79,-152.4072,278.88,75,20,5.66,US,1713752455
194,codrington,-38.2667,141.9667,292.89,34,0,3.9,AU,1713752455
195,rongelap,11.1635,166.8941,300.77,76,87,7.59,MH,1713752455
196,nampula,-15.1165,39.2666,293.12,94,20,2.57,MZ,1713752455
197,mount gambier,-37.8333,140.7667,293.76,29,2,3.19,AU,1713752455
198,finkenstein am faaker see,46.5656,13.8653,277.23,97,81,0.2,AT,1713752456
199,dabhol,17.6,73.1667,300.9,65,14,3.67,IN,1713752456
200,puerto ayora,-0.7393,-90.3518,298.46,99,25,2.24,EC,1713752456
201,ortakoy,38.7373,34.0387,279.29,59,56,2.39,TR,1713752456
202,somerset,40.5668,-74.5496,282.56,64,0,0.45,US,1713752283
203,santa marta de ortigueira,43.6833,-7.85,285.51,66,27,1.79,ES,1713752456
204,fale old settlement,-9.3852,-171.2468,303.06,75,51,4.48,TK,1713751974
205,ust-nera,64.5667,143.2,272.95,87,96,1.13,RU,1713752457
206,kuusamo,65.9667,29.1833,265.17,79,100,3.6,FI,1713752457
207,chonchi,-42.6128,-73.8092,280.44,87,100,0.68,CL,1713752457
208,la'ie,21.6477,-157.9253,301.13,72,24,4.02,US,1713752457
209,walvis bay,-22.9575,14.5053,286.68,94,0,2.06,NA,1713752457
210,ambovombe,-25.1667,46.0833,292.15,87,14,0.92,MG,1713752458
211,dexter,36.7959,-89.9579,284.07,57,0,3.04,US,1713752458
212,kavaratti,10.5669,72.642,303.03,72,57,2.93,IN,1713752458
213,kayyerkan,69.3786,87.7439,257.99,93,97,0.86,RU,1713752458
214,suwalki,54.1118,22.9309,273.61,85,100,5.89,PL,1713752458
215,tolanaro,-25.0319,46.9987,293.05,89,2,1.54,MG,1713752459
